add-none,4,100,800,3134180,3917,0
add-none,4,1000,8000,3134180,391,173
add-none,4,10000,80000,3134180,39,-466
add-none,4,100000,800000,3134180,3,-43318
add-none,4,1000000,8000000,3134180,0,-158531
add-yield-none,1,100,200,3134180,15670,0
add-yield-none,1,1000,2000,3134180,1567,0
add-yield-none,1,10000,20000,3134180,156,0
add-yield-none,1,100000,200000,3134180,15,0
add-yield-none,1,1000000,2000000,3134180,1,0
add-yield-none,2,100,400,3134182,7835,0
add-yield-none,2,1000,4000,3134182,783,27
add-yield-none,2,10000,40000,3134182,78,-38
add-yield-none,2,100000,400000,3134182,7,333
add-yield-none,2,1000000,4000000,3134182,0,4684
add-yield-none,4,100,800,3134184,3917,60
add-yield-none,4,1000,8000,3134184,391,76
add-yield-none,4,10000,80000,3134184,39,49
add-yield-none,4,100000,800000,3134184,3,954
add-yield-none,4,1000000,8000000,3134184,0,-45108
add-yield-m,2,10000,40000,3134186,78,0
add-yield-m,4,10000,80000,3134186,39,0
add-yield-m,8,10000,160000,3134186,19,0
add-yield-m,12,10000,240000,3134187,13,0
add-yield-c,2,10000,40000,3134187,78,0
add-yield-c,4,10000,80000,3134187,39,0
add-yield-c,8,10000,160000,3134187,19,0
add-yield-c,12,10000,240000,3134187,13,0
add-yield-s,2,10000,40000,3134187,78,0
add-yield-s,4,10000,80000,3134187,39,0
add-yield-s,8,1000,16000,3134187,195,0
add-yield-s,12,1000,24000,3134187,130,0
add-m,1,10000,20000,3134187,156,0
add-m,2,10000,40000,3134187,78,0
add-m,4,10000,80000,3134187,39,0
add-m,8,10000,160000,3134187,19,0
add-m,12,10000,240000,3134187,13,0
add-c,1,10000,20000,3134187,156,0
add-c,2,10000,40000,3134187,78,0
add-c,4,10000,80000,3134187,39,0
add-c,8,10000,160000,3134187,19,0
add-c,12,10000,240000,3134187,13,0
add-s,1,10000,20000,3134187,156,0
add-s,2,10000,40000,3134187,78,0
add-s,4,10000,80000,3134187,39,0
add-s,8,10000,160000,3134187,19,0
add-s,12,10000,240000,3134188,13,0
add-none,2,100,400,3134197,7835,0
add-none,2,1000,4000,3134197,783,0
add-none,2,10000,40000,3134197,78,1313
